city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,is_om_sourced,ensemble,MV_HLSTM_GRU,MV_GRU,UV_HLSTM_GRU,UV_GRU,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_HLSTM_GRU,abs_err_MV_HLSTM_GRU,err_MV_GRU,abs_err_MV_GRU,err_UV_HLSTM_GRU,abs_err_UV_HLSTM_GRU,err_UV_GRU,abs_err_UV_GRU
Mumbai,2026-06-15,2026-06-12,2026-06-15T23:46:14.381020,PRmsl,Pa,100768.5686,True,100586.4,100669.9504,100660.7141,100547.7852,100467.1502,False,-182.1686,182.1686,-98.6182,98.6182,-107.8545,107.8545,-220.7834,220.7834,-301.4184,301.4184
Mumbai,2026-06-15,2026-06-12,2026-06-15T23:46:14.381020,RH2m,%,71.1312,True,71.5425,63.3327,83.915,65.8105,73.1119,False,0.4113,0.4113,-7.7985,7.7985,12.7838,12.7838,-5.3207,5.3207,1.9807,1.9807
Mumbai,2026-06-15,2026-06-12,2026-06-15T23:46:14.381020,TMP2m,C,29.9695,True,30.7053,30.6692,27.6379,31.265,33.2489,False,0.7358,0.7358,0.6997,0.6997,-2.3316,2.3316,1.2955,1.2955,3.2794,3.2794
Delhi,2026-06-15,2026-06-12,2026-06-15T23:47:17.959337,PRmsl,Pa,100688.9804,True,100489.8562,100633.586,100468.3736,100426.3257,100431.1397,False,-199.1242,199.1242,-55.3944,55.3944,-220.6068,220.6068,-262.6547,262.6547,-257.8407,257.8407
Delhi,2026-06-15,2026-06-12,2026-06-15T23:47:17.959337,RH2m,%,34.0075,True,69.0331,55.1048,81.9455,58.0896,80.9928,False,35.0256,35.0256,21.0973,21.0973,47.938,47.938,24.0821,24.0821,46.9853,46.9853
Delhi,2026-06-15,2026-06-12,2026-06-15T23:47:17.959337,TMP2m,C,34.2161,True,31.5441,31.8142,29.2984,33.6552,31.4086,False,-2.672,2.672,-2.4019,2.4019,-4.9177,4.9177,-0.5609,0.5609,-2.8075,2.8075
Chennai,2026-06-15,2026-06-12,2026-06-15T23:48:17.363261,PRmsl,Pa,100433.917,True,100562.7467,100622.2889,100466.0323,100571.3245,100591.3411,False,128.8297,128.8297,188.3719,188.3719,32.1153,32.1153,137.4075,137.4075,157.4241,157.4241
Chennai,2026-06-15,2026-06-12,2026-06-15T23:48:17.363261,RH2m,%,62.7303,True,72.0514,78.375,65.87,76.7283,67.2325,False,9.3211,9.3211,15.6447,15.6447,3.1397,3.1397,13.998,13.998,4.5022,4.5022
Chennai,2026-06-15,2026-06-12,2026-06-15T23:48:17.363261,TMP2m,C,33.6147,True,29.7872,29.561,30.206,29.2522,30.1296,False,-3.8275,3.8275,-4.0537,4.0537,-3.4087,3.4087,-4.3625,4.3625,-3.4851,3.4851
